"","A.1","A.2","A.3","A.4","B.1","B.2","B.3","B.4","C.1","C.2","C.3","C.4","D.1","D.2","D.3","D.4","E.1","E.2","E.3","E.4","F.1","F.2","F.3","F.4"
"A.1",1,0.875450164245946,0.865121379147591,0.891582989609691,0.810601460236706,0.795677148563668,0.804664263959751,0.819652786857845,0.832616938899976,0.832757542351978,0.845383341888477,0.864720989741992,0.818728779819385,0.799390333270183,0.756722869143766,0.7740025341538,0.744941034739909,0.714756830707245,0.759643004706633,0.687068055739479,0.655303930802204,0.681248829496664,0.717010967453225,0.71231198087528
"A.2",0.875450164245946,1,0.920251897527988,0.858476975696803,0.839178788828704,0.859729348426446,0.843149183677708,0.873114072418003,0.802216905231803,0.825142569204416,0.830661897681315,0.854741081266082,0.825629305194126,0.786742380526418,0.728799906130062,0.755524832311877,0.740111655890869,0.687615032868449,0.76673503098254,0.679998429162853,0.632530334243465,0.651761104596212,0.708102178037165,0.711587616095377
"A.3",0.865121379147591,0.920251897527988,1,0.888103456946608,0.891895167219863,0.86505141964686,0.899725976496567,0.871863221326855,0.855400639805582,0.86502096817476,0.850488278584688,0.870902977197191,0.864381306526336,0.847684975331479,0.817115825102211,0.831929567706135,0.795130621384132,0.743618715943225,0.786689895456447,0.701947442960834,0.690818407917213,0.717817583000949,0.757570723699907,0.766865440697683
"A.4",0.891582989609691,0.858476975696803,0.888103456946608,1,0.868251408195916,0.846369077426787,0.863769484733183,0.856265241540747,0.862081525801305,0.845822423272713,0.839336739497918,0.852714149194785,0.859982738949756,0.851285588382788,0.816884106159442,0.8221121129226,0.74683615610566,0.717123889332901,0.749030283445476,0.670530573227435,0.640025772731397,0.674477490476962,0.708640701487231,0.722148759731545
"B.1",0.810601460236706,0.839178788828704,0.891895167219863,0.868251408195916,1,0.922453387961735,0.958068906976814,0.936297760796259,0.81035287621956,0.814262341043927,0.78897703165118,0.810219460058029,0.895227332901392,0.891068936344317,0.87380662573671,0.870469156617791,0.791620738940545,0.745439419070209,0.750879719375425,0.684529546766311,0.711006356624066,0.746789842454117,0.779479725887978,0.800652737958642
"B.2",0.795677148563668,0.859729348426446,0.86505141964686,0.846369077426787,0.922453387961735,1,0.925206468788527,0.934443737287487,0.773563110740594,0.792614724618066,0.792732659581828,0.798037432811429,0.881632263070227,0.855049282838728,0.807635247300178,0.821883454420835,0.734406636913554,0.691572376372791,0.736720767316166,0.651303489253339,0.635483367919792,0.668710011317565,0.721397932999974,0.730525205062256
"B.3",0.804664263959751,0.843149183677708,0.899725976496567,0.863769484733183,0.958068906976814,0.925206468788527,1,0.917158156707424,0.815278462456365,0.825165366364562,0.794550848920855,0.825378782829791,0.907192293312712,0.907089985672312,0.88837470942675,0.899409642828008,0.781220802633111,0.736362473849733,0.745258204594291,0.675143570622031,0.715767623870978,0.748268579187891,0.781889653741285,0.821876176239376
"B.4",0.819652786857845,0.873114072418003,0.871863221326855,0.856265241540747,0.936297760796259,0.934443737287487,0.917158156707424,1,0.78364850512126,0.79069190435177,0.791502760903376,0.799281750211482,0.873588843320312,0.854085319231891,0.818356934058689,0.812527217223063,0.755699292105858,0.704860916194637,0.757068887060031,0.681427667932969,0.65962994206271,0.692431497804056,0.74556253582857,0.743665237168245
"C.1",0.832616938899976,0.802216905231803,0.855400639805582,0.862081525801305,0.81035287621956,0.773563110740594,0.815278462456365,0.78364850512126,1,0.901953750520212,0.879960238027582,0.890450072976048,0.874247566370817,0.856858297795404,0.822973647713219,0.847572026725527,0.746165098207858,0.713937928835665,0.73129825819165,0.673527598955014,0.632884257173232,0.666297248852273,0.689951083069323,0.705483382671456
"C.2",0.832757542351978,0.825142569204416,0.86502096817476,0.845822423272713,0.814262341043927,0.792614724618066,0.825165366364562,0.79069190435177,0.901953750520212,1,0.921101935971005,0.930737612253396,0.891512138195909,0.865872670291264,0.827418133656567,0.860685705742794,0.707588185638426,0.680518192549721,0.693973913290371,0.625015391016326,0.596456631875903,0.636673597960041,0.663582969832581,0.689748100450107
"C.3",0.845383341888477,0.830661897681315,0.850488278584688,0.839336739497918,0.78897703165118,0.792732659581828,0.794550848920855,0.791502760903376,0.879960238027582,0.921101935971005,1,0.916150459880495,0.863760378805526,0.835805816701021,0.791019654889928,0.815973359495934,0.715412920244082,0.678388304125855,0.729897753870538,0.637237081547153,0.596073362252974,0.62558784280479,0.666445032731593,0.672878155815467
"C.4",0.864720989741992,0.854741081266082,0.870902977197191,0.852714149194785,0.810219460058029,0.798037432811429,0.825378782829791,0.799281750211482,0.890450072976048,0.930737612253396,0.916150459880495,1,0.880783342397175,0.859415616638689,0.812746049333517,0.844838505390577,0.730188084434481,0.6963071062709,0.729251292296257,0.660177216317453,0.623779635535959,0.661141100602558,0.695353507808114,0.710887048596868
"D.1",0.818728779819385,0.825629305194126,0.864381306526336,0.859982738949756,0.895227332901392,0.881632263070227,0.907192293312712,0.873588843320312,0.874247566370817,0.891512138195909,0.863760378805526,0.880783342397175,1,0.940222691892537,0.901148690059719,0.925450967443393,0.760658363056656,0.726143275249786,0.746656763312529,0.675389442229581,0.657910875871811,0.702607879489134,0.740756089970675,0.757591659090481
"D.2",0.799390333270183,0.786742380526418,0.847684975331479,0.851285588382788,0.891068936344317,0.855049282838728,0.907089985672312,0.854085319231891,0.856858297795404,0.865872670291264,0.835805816701021,0.859415616638689,0.940222691892537,1,0.937663068536858,0.955788206180769,0.771317536891824,0.74025368009679,0.736952099568633,0.668642255138933,0.691043219529885,0.739614533002445,0.771655300093989,0.81112205667177
"D.3",0.756722869143766,0.728799906130062,0.817115825102211,0.816884106159442,0.87380662573671,0.807635247300178,0.88837470942675,0.818356934058689,0.822973647713219,0.827418133656567,0.791019654889928,0.812746049333517,0.901148690059719,0.937663068536858,1,0.93463107846353,0.757764686939339,0.728741328701862,0.708191753510442,0.64654163036118,0.717050299805617,0.741130240085601,0.758947315351941,0.804304324190214
"D.4",0.7740025341538,0.755524832311877,0.831929567706135,0.8221121129226,0.870469156617791,0.821883454420835,0.899409642828008,0.812527217223063,0.847572026725527,0.860685705742794,0.815973359495934,0.844838505390577,0.925450967443393,0.955788206180769,0.93463107846353,1,0.756894840478923,0.721176943312123,0.709174273993732,0.641888829811262,0.682308042176692,0.728570014420516,0.745188932432368,0.805250686376557
"E.1",0.744941034739909,0.740111655890869,0.795130621384132,0.74683615610566,0.791620738940545,0.734406636913554,0.781220802633111,0.755699292105858,0.746165098207858,0.707588185638426,0.715412920244082,0.730188084434481,0.760658363056656,0.771317536891824,0.757764686939339,0.756894840478923,1,0.91876177945149,0.93169447275137,0.832840910530819,0.871779081753066,0.894815541276998,0.909404277477426,0.880088158820085
"E.2",0.714756830707245,0.687615032868449,0.743618715943225,0.717123889332901,0.745439419070209,0.691572376372791,0.736362473849733,0.704860916194637,0.713937928835665,0.680518192549721,0.678388304125855,0.6963071062709,0.726143275249786,0.74025368009679,0.728741328701862,0.721176943312123,0.91876177945149,1,0.892580139323837,0.842516648489009,0.847850174326637,0.891924480137642,0.892014975887711,0.858720268497869
"E.3",0.759643004706633,0.76673503098254,0.786689895456447,0.749030283445476,0.750879719375425,0.736720767316166,0.745258204594291,0.757068887060031,0.73129825819165,0.693973913290371,0.729897753870538,0.729251292296257,0.746656763312529,0.736952099568633,0.708191753510442,0.709174273993732,0.93169447275137,0.892580139323837,1,0.829971459538509,0.821799365168118,0.844135638382774,0.869049351187538,0.831951989095224
"E.4",0.687068055739479,0.679998429162853,0.701947442960834,0.670530573227435,0.684529546766311,0.651303489253339,0.675143570622031,0.681427667932969,0.673527598955014,0.625015391016326,0.637237081547153,0.660177216317453,0.675389442229581,0.668642255138933,0.64654163036118,0.641888829811262,0.832840910530819,0.842516648489009,0.829971459538509,1,0.769565366185927,0.79025113024963,0.806277667645977,0.769724065911014
"F.1",0.655303930802204,0.632530334243465,0.690818407917213,0.640025772731397,0.711006356624066,0.635483367919792,0.715767623870978,0.65962994206271,0.632884257173232,0.596456631875903,0.596073362252974,0.623779635535959,0.657910875871811,0.691043219529885,0.717050299805617,0.682308042176692,0.871779081753066,0.847850174326637,0.821799365168118,0.769565366185927,1,0.932134752880196,0.917671982937743,0.881319421988735
"F.2",0.681248829496664,0.651761104596212,0.717817583000949,0.674477490476962,0.746789842454117,0.668710011317565,0.748268579187891,0.692431497804056,0.666297248852273,0.636673597960041,0.62558784280479,0.661141100602558,0.702607879489134,0.739614533002445,0.741130240085601,0.728570014420516,0.894815541276998,0.891924480137642,0.844135638382774,0.79025113024963,0.932134752880196,1,0.946321093638788,0.909478578619423
"F.3",0.717010967453225,0.708102178037165,0.757570723699907,0.708640701487231,0.779479725887978,0.721397932999974,0.781889653741285,0.74556253582857,0.689951083069323,0.663582969832581,0.666445032731593,0.695353507808114,0.740756089970675,0.771655300093989,0.758947315351941,0.745188932432368,0.909404277477426,0.892014975887711,0.869049351187538,0.806277667645977,0.917671982937743,0.946321093638788,1,0.918083312436271
"F.4",0.71231198087528,0.711587616095377,0.766865440697683,0.722148759731545,0.800652737958642,0.730525205062256,0.821876176239376,0.743665237168245,0.705483382671456,0.689748100450107,0.672878155815467,0.710887048596868,0.757591659090481,0.81112205667177,0.804304324190214,0.805250686376557,0.880088158820085,0.858720268497869,0.831951989095224,0.769724065911014,0.881319421988735,0.909478578619423,0.918083312436271,1
